replicon_gembase_name	size	mobility	Predicted_PTU
ESCO001.0523.00644.003P	146133	pCONJ	PTU-FE
ESCO001.0523.00644.004P	76292	pCONJ	-
ESCO001.0523.00645.002P	279992	pCONJ	PTU-HI1B
ESCO001.0523.00645.003P	44240	pMOB	PTU-HI1B
ESCO001.0523.00645.004P	11153	pNT	-
ESCO001.0523.00646.002P	266396	pCONJ	PTU-HI1B
ESCO001.0523.00647.002P	167256	pMOB	PTU-E79
ESCO001.0523.00647.003P	86529	pCONJ	-
ESCO001.0523.00649.002P	163111	pCONJ	-
ESCO001.0523.00649.003P	57104	pCONJ	PTU-?
ESCO001.0523.00650.002P	115935	pCONJ	PTU-I1
ESCO001.0523.00650.003P	99461	pNT	-
ESCO001.0523.00650.004P	67616	pCONJ	PTU-FE
ESCO001.0523.00651.002P	278067	pCONJ	PTU-FE
ESCO001.0523.00653.002P	88891	pCONJ	PTU-I1
ESCO001.0523.00653.003P	5330	pOriT	-
ESCO001.0523.00653.004P	4734	pMOB	PTU-E19
ESCO001.0523.00655.002P	115932	pCONJ	PTU-I1
ESCO001.0523.00655.003P	99454	pNT	-
ESCO001.0523.00655.004P	66611	pCONJ	PTU-FE
ESCO001.0523.00656.002P	115609	pCONJ	PTU-I1
ESCO001.0523.00656.003P	99465	pNT	-
ESCO001.0523.00656.004P	66573	pCONJ	PTU-FE
ESCO001.0523.00657.002P	228062	pCONJ	PTU-HI2
ESCO001.0523.00657.003P	189994	pCONJ	PTU-?
ESCO001.0523.00658.002P	97726	pCONJ	PTU-B/O/K/Z
ESCO001.0523.00658.003P	73952	pCONJ	PTU-FE
ESCO001.0523.00658.004P	30240	pNT	-
ESCO001.0523.00658.005P	7464	pMOB	PTU-E7
ESCO001.0523.00658.006P	5165	pMOB	PTU-E7
ESCO001.0523.00659.002P	91123	pCONJ	PTU-I1
ESCO001.0523.00659.003P	4087	pMOB	PTU-E10
ESCO001.0523.00660.002P	99009	pCONJ	-
ESCO001.0523.00661.002P	70650	pdCONJ	-
ESCO001.0523.00661.003P	45063	pNT	-
ESCO001.0523.00662.002P	175089	pCONJ	-
ESCO001.0523.00664.002P	74390	pMOB	PTU-E5
ESCO001.0523.00664.003P	53543	pCONJ	PTU-FE
ESCO001.0523.00665.002P	190128	pCONJ	PTU-HI1A
ESCO001.0523.00665.003P	78706	pOriT	-
ESCO001.0523.00665.004P	4664	pOriT	PTU-?
ESCO001.0523.00665.005P	2137	pOriT	PTU-E11
ESCO001.0523.00665.006P	1459	pOriT	PTU-E9
ESCO001.0523.00666.002P	122347	pCONJ	PTU-I1
ESCO001.0523.00666.003P	106630	pCONJ	-
ESCO001.0523.00666.004P	101987	pOriT	-
ESCO001.0523.00666.005P	4072	pMOB	PTU-E10
ESCO001.0523.00667.002P	114322	PP	PTU-E16
ESCO001.0523.00667.003P	92973	pOriT	-
ESCO001.0523.00667.004P	4072	pMOB	PTU-E10
ESCO001.0523.00669.002P	42683	pOriT	-
ESCO001.0523.00669.003P	12602	pOriT	-
ESCO001.0523.00669.004P	4593	pMOB	PTU-E1
ESCO001.0523.00669.005P	2724	pOriT	PTU-E58
ESCO001.0523.00671.002P	93284	pNT	PTU-E5
ESCO001.0523.00672.002P	90310	pNT	PTU-E5
ESCO001.0523.00673.002P	92653	pNT	PTU-E5
ESCO001.0523.00674.002P	90978	pNT	PTU-E5
ESCO001.0523.00675.002P	92743	pNT	PTU-E5
ESCO001.0523.00675.003P	63089	pCONJ	PTU-FE
ESCO001.0523.00675.004P	3306	pOriT	PTU-E1
ESCO001.0523.00676.002P	90995	pNT	PTU-E5
ESCO001.0523.00677.002P	91253	pNT	PTU-E5
ESCO001.0523.00678.002P	92785	pNT	PTU-E5
ESCO001.0523.00678.003P	3306	pOriT	PTU-E1
ESCO001.0523.00679.002P	92771	pNT	PTU-E5
ESCO001.0523.00679.003P	61441	pCONJ	PTU-FE
ESCO001.0523.00680.002P	90979	pNT	PTU-E5
ESCO001.0523.00680.003P	62779	pCONJ	PTU-?
ESCO001.0523.00685.002P	224961	pCONJ	PTU-HI2
ESCO001.0523.00685.003P	108364	pCONJ	PTU-B/O/K/Z
ESCO001.0523.00685.004P	61603	pCONJ	PTU-I2
ESCO001.0523.00685.005P	6731	pOriT	PTU-E20
ESCO001.0523.00685.006P	4234	pMOB	PTU-E20
ESCO001.0523.00686.002P	145389	pCONJ	PTU-FE
ESCO001.0523.00686.003P	75556	pCONJ	PTU-FE
ESCO001.0523.00686.004P	49365	pCONJ	PTU-?
ESCO001.0523.00686.005P	46158	pCONJ	PTU-X3
ESCO001.0523.00686.006P	3274	pOriT	-
ESCO001.0523.00686.007P	3067	pNT	-
ESCO001.0523.00687.002P	111694	PP	PTU-E16
ESCO001.0523.00687.003P	82182	pMOB	PTU-FE
ESCO001.0523.00687.004P	37385	pNT	-
ESCO001.0523.00687.005P	29825	pNT	-
ESCO001.0523.00687.006P	27029	pNT	PTU-L/M
ESCO001.0523.00687.007P	7940	pMOB	-
ESCO001.0523.00687.008P	5168	pMOB	PTU-E7
ESCO001.0523.00687.009P	4072	pMOB	PTU-E10
ESCO001.0523.00687.010P	1552	pOriT	PTU-E9
ESCO001.0523.00689.002P	95621	pNT	PTU-E5
ESCO001.0523.00690.002P	95642	pNT	PTU-E5
ESCO001.0523.00691.002P	93175	pNT	PTU-E5
ESCO001.0523.00692.002P	92909	pNT	PTU-E5
ESCO001.0523.00694.002P	95631	pNT	PTU-E5
ESCO001.0523.00695.002P	93331	pNT	PTU-E5
ESCO001.0523.00696.002P	161372	pCONJ	PTU-FE
ESCO001.0523.00696.003P	79945	pCONJ	PTU-FE
ESCO001.0523.00696.004P	5627	pMOB	PTU-E22
ESCO001.0523.00696.005P	5166	pMOB	PTU-E7
ESCO001.0523.00696.006P	5057	pMOB	PTU-E1
ESCO001.0523.00696.007P	1718	pOriT	-
ESCO001.0523.00697.002P	180783	pCONJ	-
ESCO001.0523.00698.002P	100778	pCONJ	PTU-E41
ESCO001.0523.00698.003P	100217	PP	PTU-Y
ESCO001.0523.00698.004P	2974	pOriT	-
ESCO001.0523.00702.002P	94581	pNT	PTU-E5
ESCO001.0523.00703.002P	94640	pNT	PTU-E5
ESCO001.0523.00704.002P	78498	pMOB	-
ESCO001.0523.00704.003P	59353	pCONJ	PTU-?
ESCO001.0523.00705.002P	73506	pOriT	-
ESCO001.0523.00705.003P	59351	pCONJ	PTU-?
ESCO001.0523.00706.002P	219101	pCONJ	PTU-HI1A
ESCO001.0523.00706.003P	95543	PP	PTU-Y
ESCO001.0523.00707.002P	186058	pCONJ	PTU-HI1A
ESCO001.0523.00707.003P	114129	PP	-
ESCO001.0523.00708.002P	98151	PP	PTU-Y
ESCO001.0523.00708.003P	84917	pCONJ	PTU-B/O/K/Z
ESCO001.0523.00708.004P	83648	pCONJ	PTU-FE
ESCO001.0523.00708.005P	74945	pCONJ	PTU-X3
ESCO001.0523.00708.006P	4072	pMOB	PTU-E10
ESCO001.0523.00709.002P	108424	pMOB	-
ESCO001.0523.00709.003P	66053	pCONJ	PTU-FE
ESCO001.0523.00710.002P	115253	pOriT	-
ESCO001.0523.00710.003P	113072	PP	PTU-E16
ESCO001.0523.00710.004P	96046	pCONJ	PTU-I1
ESCO001.0523.00711.002P	98304	pNT	PTU-E5
ESCO001.0523.00712.002P	126409	pNT	-
ESCO001.0523.00712.003P	51479	pCONJ	PTU-X3
ESCO001.0523.00713.002P	97529	pMOB	-
ESCO001.0523.00715.002P	129230	pCONJ	-
ESCO001.0523.00715.003P	62471	pCONJ	PTU-FE
ESCO001.0523.00715.004P	5279	pMOB	PTU-E1
ESCO001.0523.00716.002P	268665	pCONJ	PTU-HI2
ESCO001.0523.00716.003P	145001	pCONJ	PTU-?
ESCO001.0523.00716.004P	6648	pMOB	PTU-E1
ESCO001.0523.00717.002P	192449	pOriT	PTU-HI2
ESCO001.0523.00717.003P	131954	pCONJ	-
ESCO001.0523.00717.004P	99789	PP	PTU-Y
ESCO001.0523.00718.002P	155171	pCONJ	PTU-FE
ESCO001.0523.00718.003P	111822	pCONJ	PTU-I1
ESCO001.0523.00718.004P	31764	pCONJ	PTU-X4
ESCO001.0523.00718.005P	3499	pOriT	PTU-E1
ESCO001.0523.00720.002P	127645	pCONJ	PTU-I1
ESCO001.0523.00720.003P	113013	pCONJ	PTU-E50
ESCO001.0523.00720.004P	64451	pNT	-
ESCO001.0523.00720.005P	2312	pNT	-
ESCO001.0523.00721.002P	178137	pCONJ	PTU-FE
ESCO001.0523.00721.003P	134426	pCONJ	PTU-I1
ESCO001.0523.00721.004P	60960	pCONJ	PTU-I2
ESCO001.0523.00721.005P	47443	pCONJ	PTU-E80
ESCO001.0523.00721.006P	6647	pMOB	PTU-E1
ESCO001.0523.00721.007P	1506	pOriT	PTU-E9
ESCO001.0523.00723.002P	251000	pCONJ	PTU-HI2
ESCO001.0523.00723.003P	134831	pCONJ	-
ESCO001.0523.00723.004P	6938	pNT	-
ESCO001.0523.00724.002P	251000	pCONJ	PTU-HI2
ESCO001.0523.00724.003P	135123	pCONJ	PTU-?
ESCO001.0523.00725.002P	90674	PP	PTU-E25
ESCO001.0523.00725.003P	33309	pNT	PTU-X4
ESCO001.0523.00726.002P	251000	pCONJ	PTU-HI2
ESCO001.0523.00726.003P	135123	pCONJ	PTU-FE
ESCO001.0523.00726.004P	6430	pOriT	-
ESCO001.0523.00727.002P	98476	pNT	-
ESCO001.0523.00727.003P	92595	PP	PTU-Y
ESCO001.0523.00727.004P	27108	pOriT	-
ESCO001.0523.00728.002P	138121	pCONJ	PTU-E77
ESCO001.0523.00729.002P	85426	pCONJ	PTU-FE
ESCO001.0523.00729.003P	84140	pCONJ	-
ESCO001.0523.00729.004P	82584	pCONJ	PTU-I1
ESCO001.0523.00729.005P	2916	pOriT	-
ESCO001.0523.00730.002P	306181	PP	-
ESCO001.0523.00730.003P	82344	pCONJ	PTU-FE
ESCO001.0523.00730.004P	65701	pCONJ	PTU-E68
ESCO001.0523.00730.005P	5892	pMOB	PTU-E1
ESCO001.0523.00730.006P	3214	pNT	-
ESCO001.0523.00731.002P	110902	PP	PTU-E16
ESCO001.0523.00731.003P	81110	pCONJ	PTU-FE
ESCO001.0523.00732.002P	114158	PP	PTU-E16
ESCO001.0523.00732.003P	67626	pdCONJ	-
ESCO001.0523.00732.004P	67518	pOriT	-
ESCO001.0523.00733.002P	80039	pCONJ	PTU-FE
ESCO001.0523.00734.002P	80029	pCONJ	PTU-FE
ESCO001.0523.00735.002P	80039	pCONJ	PTU-FE
ESCO001.0523.00736.002P	88727	pCONJ	PTU-FE
ESCO001.0523.00737.002P	89435	pCONJ	-
ESCO001.0523.00738.002P	142236	pMOB	PTU-FE
ESCO001.0523.00738.003P	88706	pOriT	-
ESCO001.0523.00738.004P	46161	pCONJ	PTU-X3
ESCO001.0523.00740.002P	159959	pCONJ	PTU-C
ESCO001.0523.00740.003P	110182	PP	PTU-E16
ESCO001.0523.00740.004P	94239	pNT	-
ESCO001.0523.00740.005P	26999	pNT	-
ESCO001.0523.00740.006P	24518	pNT	-
ESCO001.0523.00741.002P	170395	pCONJ	PTU-FE
ESCO001.0523.00741.003P	69245	pOriT	PTU-I1
ESCO001.0523.00741.004P	50168	pCONJ	PTU-X3
ESCO001.0523.00741.005P	6200	pOriT	PTU-E63
ESCO001.0523.00741.006P	5163	pMOB	PTU-E7
ESCO001.0523.00741.007P	4417	pOriT	PTU-E76
ESCO001.0523.00741.008P	4069	pMOB	PTU-E10
ESCO001.0523.00741.009P	3372	pOriT	PTU-E1
ESCO001.0523.00741.010P	3174	pOriT	PTU-E1
ESCO001.0523.00741.011P	2101	pNT	PTU-E47
ESCO001.0523.00741.012P	1822	pOriT	-
ESCO001.0523.00742.002P	50136	pCONJ	PTU-X3
ESCO001.0523.00742.003P	10122	pMOB	-
ESCO001.0523.00742.004P	3789	pOriT	-
ESCO001.0523.00743.002P	155486	pOriT	PTU-FE
ESCO001.0523.00743.003P	59239	pCONJ	PTU-L/M
ESCO001.0523.00743.004P	47545	PP	PTU-?
ESCO001.0523.00743.005P	7939	pMOB	PTU-E1
ESCO001.0523.00743.006P	5164	pMOB	PTU-E7
ESCO001.0523.00743.007P	1458	pOriT	PTU-E9
ESCO001.0523.00744.002P	51471	pCONJ	PTU-X3
ESCO001.0523.00744.003P	10122	pMOB	-
ESCO001.0523.00744.004P	3789	pOriT	-
ESCO001.0523.00745.002P	129675	pCONJ	PTU-FE
ESCO001.0523.00745.003P	51479	pCONJ	PTU-X3
ESCO001.0523.00745.004P	32102	pCONJ	PTU-X4
ESCO001.0523.00745.005P	13907	pOriT	PTU-?
ESCO001.0523.00745.006P	4065	pMOB	-
ESCO001.0523.00745.007P	4064	pMOB	PTU-E10
ESCO001.0523.00746.002P	97111	pNT	-
ESCO001.0523.00746.003P	51466	pCONJ	PTU-X3
ESCO001.0523.00746.004P	28663	pNT	-
ESCO001.0523.00746.005P	2088	pNT	PTU-E47
ESCO001.0523.00747.002P	144585	pCONJ	PTU-FE
ESCO001.0523.00747.003P	88513	pCONJ	PTU-I1
ESCO001.0523.00747.004P	69538	pCONJ	PTU-FE
ESCO001.0523.00747.005P	33876	pCONJ	PTU-E80
ESCO001.0523.00747.006P	7872	pMOB	PTU-E7
ESCO001.0523.00747.007P	3638	pMOB	-
ESCO001.0523.00747.008P	2101	pNT	PTU-E47
ESCO001.0523.00748.002P	90244	pCONJ	PTU-FE
ESCO001.0523.00748.003P	71270	pdCONJ	PTU-I1
ESCO001.0523.00748.004P	10494	pNT	-
ESCO001.0523.00748.005P	3684	pNT	PTU-E71
ESCO001.0523.00749.002P	132482	pCONJ	PTU-FE
ESCO001.0523.00749.003P	3684	pNT	PTU-E71
ESCO001.0523.00749.004P	2089	pNT	PTU-E47
ESCO001.0523.00750.002P	86996	pNT	-
ESCO001.0523.00750.003P	2088	pNT	PTU-E47
ESCO001.0523.00751.002P	98786	pCONJ	PTU-FE
ESCO001.0523.00755.002P	126964	pCONJ	PTU-FE
ESCO001.0523.00759.002P	168051	pCONJ	PTU-?
ESCO001.0523.00759.003P	63295	pCONJ	PTU-I2
ESCO001.0523.00759.004P	6126	pOriT	-
ESCO001.0523.00759.005P	6063	pNT	PTU-N1
ESCO001.0523.00759.006P	4073	pMOB	PTU-E10
ESCO001.0523.00760.002P	167766	pCONJ	-
ESCO001.0523.00760.003P	4727	pNT	-
ESCO001.0523.00765.002P	146286	pdCONJ	PTU-FE
ESCO001.0523.00765.003P	62055	pdCONJ	-
ESCO001.0523.00765.004P	6346	pMOB	PTU-E10
ESCO001.0523.00766.002P	118248	pMOB	-
ESCO001.0523.00766.003P	7542	pMOB	PTU-E3
ESCO001.0523.00766.004P	4145	pOriT	PTU-E76
ESCO001.0523.00766.005P	2028	pMOB	-
ESCO001.0523.00766.006P	1749	pOriT	-
ESCO001.0523.00767.002P	114813	pMOB	-
ESCO001.0523.00767.003P	7542	pMOB	PTU-E3
ESCO001.0523.00767.004P	4145	pOriT	-
ESCO001.0523.00767.005P	2028	pMOB	-
ESCO001.0523.00767.006P	1749	pOriT	-
ESCO001.0523.00769.002P	194391	pdCONJ	PTU-FE
ESCO001.0523.00769.003P	94989	pdCONJ	PTU-I1
ESCO001.0523.00769.004P	68949	pOriT	PTU-FE
ESCO001.0523.00769.005P	46118	pCONJ	PTU-X3
ESCO001.0523.00770.002P	180962	pCONJ	PTU-FE
ESCO001.0523.00770.003P	70739	pCONJ	PTU-FE
ESCO001.0523.00771.002P	143163	pCONJ	PTU-FE
ESCO001.0523.00771.003P	6800	pOriT	PTU-E52
ESCO001.0523.00771.004P	3372	pOriT	PTU-E1
ESCO001.0523.00771.005P	3173	pOriT	PTU-E1
ESCO001.0523.00773.002P	127295	pCONJ	PTU-?
ESCO001.0523.00780.002P	47676	pCONJ	PTU-?
ESCO001.0523.00781.002P	193098	pCONJ	PTU-HI1A
ESCO001.0523.00781.003P	161057	pCONJ	PTU-FE
ESCO001.0523.00781.004P	65023	pCONJ	PTU-I2
ESCO001.0523.00783.002P	190391	pCONJ	PTU-HI1A
ESCO001.0523.00783.003P	172892	pCONJ	PTU-FE
ESCO001.0523.00783.004P	33309	pCONJ	PTU-X4
ESCO001.0523.00784.002P	97366	pOriT	-
ESCO001.0523.00785.002P	121872	pCONJ	PTU-FE
ESCO001.0523.00785.003P	4081	pMOB	PTU-E10
ESCO001.0523.00786.002P	190219	pOriT	PTU-HI2
ESCO001.0523.00786.003P	161176	pCONJ	-
ESCO001.0523.00786.004P	76633	pCONJ	PTU-FE
ESCO001.0523.00786.005P	10675	pMOB	PTU-E1
ESCO001.0523.00786.006P	7098	pMOB	PTU-E20
ESCO001.0523.00786.007P	6988	pMOB	PTU-E14
ESCO001.0523.00787.002P	107449	pCONJ	-
ESCO001.0523.00788.002P	102029	pNT	PTU-FE
ESCO001.0523.00788.003P	45497	pCONJ	-
ESCO001.0523.00788.004P	5207	pMOB	PTU-E1
ESCO001.0523.00788.005P	5164	pMOB	PTU-E7
ESCO001.0523.00788.006P	4082	pMOB	PTU-E10
ESCO001.0523.00788.007P	2739	pOriT	-
ESCO001.0523.00788.008P	2113	pNT	PTU-E47
ESCO001.0523.00788.009P	2029	pMOB	-
ESCO001.0523.00788.010P	1549	pOriT	PTU-E9
ESCO001.0523.00789.002P	233798	pMOB	PTU-FSh
ESCO001.0523.00789.003P	7120	pOriT	-
ESCO001.0523.00790.002P	233800	pMOB	PTU-FSh
ESCO001.0523.00790.003P	7413	pOriT	-
ESCO001.0523.00791.002P	102347	pOriT	-
ESCO001.0523.00791.003P	4145	pOriT	-
ESCO001.0523.00791.004P	4072	pMOB	PTU-E10
ESCO001.0523.00792.002P	107230	pCONJ	-
ESCO001.0523.00792.003P	46160	pCONJ	PTU-X3
ESCO001.0523.00793.002P	143259	pdCONJ	PTU-FE
ESCO001.0523.00793.003P	60732	pCONJ	PTU-I2
ESCO001.0523.00793.004P	41113	pCONJ	PTU-?
ESCO001.0523.00793.005P	12565	pNT	-
ESCO001.0523.00795.002P	172627	pCONJ	-
ESCO001.0523.00795.003P	9703	pOriT	-
ESCO001.0523.00795.004P	7939	pMOB	PTU-E1
ESCO001.0523.00795.005P	6265	pMOB	PTU-E22
ESCO001.0523.00795.006P	4802	pNT	-
ESCO001.0523.00796.002P	116897	pCONJ	PTU-FE
ESCO001.0523.00796.003P	71625	pCONJ	PTU-FE
ESCO001.0523.00797.002P	110400	pCONJ	PTU-FE
ESCO001.0523.00798.002P	189717	pCONJ	-
ESCO001.0523.00798.003P	66467	pMOB	-
ESCO001.0523.00798.004P	6758	pMOB	PTU-E20
ESCO001.0523.00798.005P	5902	pMOB	PTU-E1
ESCO001.0523.00798.006P	4660	pOriT	-
ESCO001.0523.00799.002P	103780	pCONJ	PTU-FE
ESCO001.0523.00800.002P	83503	pCONJ	PTU-B/O/K/Z
ESCO001.0523.00800.003P	65217	pNT	PTU-FE
ESCO001.0523.00800.004P	5153	pOriT	PTU-E1
ESCO001.0523.00800.005P	4072	pMOB	PTU-E10
ESCO001.0523.00800.006P	1538	pOriT	PTU-E9
ESCO001.0523.00801.002P	85236	pNT	PTU-FE
ESCO001.0523.00801.003P	4727	pOriT	PTU-E58
ESCO001.0523.00802.002P	114224	pCONJ	PTU-FE
ESCO001.0523.00803.002P	116892	pCONJ	PTU-FE
ESCO001.0523.00803.003P	94616	pCONJ	PTU-B/O/K/Z
ESCO001.0523.00804.002P	114026	pCONJ	PTU-FE
ESCO001.0523.00804.003P	72961	pCONJ	PTU-FE
ESCO001.0523.00804.004P	12301	pMOB	PTU-E1
ESCO001.0523.00804.005P	1549	pOriT	PTU-E9
ESCO001.0523.00805.002P	120617	pCONJ	PTU-FE
ESCO001.0523.00805.003P	93339	pCONJ	PTU-B/O/K/Z
ESCO001.0523.00805.004P	5153	pOriT	PTU-E1
ESCO001.0523.00805.005P	2337	pNT	-
ESCO001.0523.00806.002P	117034	pCONJ	PTU-E78
ESCO001.0523.00807.002P	5892	pMOB	PTU-E1
ESCO001.0523.00808.002P	105394	pNT	PTU-FE
ESCO001.0523.00808.003P	67142	pCONJ	PTU-FE
ESCO001.0523.00808.004P	4067	pMOB	PTU-E10
ESCO001.0523.00809.002P	139635	pCONJ	PTU-FE
ESCO001.0523.00809.003P	39292	pMOB	PTU-FE
ESCO001.0523.00809.004P	6216	pMOB	PTU-E7
ESCO001.0523.00810.002P	80332	pCONJ	PTU-I1
ESCO001.0523.00810.003P	6754	pMOB	PTU-E20
ESCO001.0523.00810.004P	6320	pMOB	PTU-E1
ESCO001.0523.00810.005P	4082	pMOB	PTU-E10
ESCO001.0523.00811.002P	93854	PP	PTU-Y
ESCO001.0523.00811.003P	87627	pCONJ	PTU-I1
ESCO001.0523.00811.004P	63878	pCONJ	PTU-I2
ESCO001.0523.00811.005P	62933	pOriT	-
ESCO001.0523.00813.002P	48403	PP	PTU-?
ESCO001.0523.00814.002P	103328	pCONJ	PTU-I1
ESCO001.0523.00814.003P	71222	pCONJ	PTU-FE
ESCO001.0523.00814.004P	56716	pCONJ	PTU-I2
ESCO001.0523.00815.002P	128584	pOriT	-
ESCO001.0523.00815.003P	112229	PP	PTU-E16
ESCO001.0523.00816.002P	145015	pCONJ	PTU-FE
ESCO001.0523.00816.003P	5168	pMOB	PTU-E7
ESCO001.0523.00816.004P	1538	pOriT	PTU-E9
ESCO001.0523.00817.002P	159399	pCONJ	PTU-B/O/K/Z
ESCO001.0523.00817.003P	111501	pdCONJ	-
ESCO001.0523.00817.004P	11467	pOriT	PTU-E14
ESCO001.0523.00817.005P	8138	pMOB	PTU-E20
ESCO001.0523.00817.006P	7618	pMOB	PTU-Q1
ESCO001.0523.00817.007P	5689	pMOB	-
ESCO001.0523.00817.008P	5237	pMOB	PTU-E19
ESCO001.0523.00817.009P	4067	pMOB	PTU-E10
ESCO001.0523.00817.010P	3863	pOriT	-
ESCO001.0523.00817.011P	3131	pNT	-
ESCO001.0523.00818.002P	111831	pCONJ	PTU-FE
ESCO001.0523.00819.002P	151546	pCONJ	PTU-FE
ESCO001.0523.00819.003P	68199	pCONJ	PTU-L/M
ESCO001.0523.00820.002P	88052	pNT	PTU-FE
ESCO001.0523.00820.003P	86646	pCONJ	PTU-I1
ESCO001.0523.00820.004P	47295	PP	PTU-?
ESCO001.0523.00820.005P	4074	pMOB	PTU-E10
ESCO001.0523.00820.006P	2113	pNT	PTU-E47
ESCO001.0523.00823.002P	7606	pNT	PTU-FE
ESCO001.0523.00825.002P	7718	pNT	PTU-FE
ESCO001.0523.00830.002P	231547	pCONJ	PTU-E77
ESCO001.0523.00831.002P	242042	pCONJ	PTU-E77
ESCO001.0523.00832.002P	264177	pCONJ	PTU-HI1A
ESCO001.0523.00832.003P	121655	pCONJ	-
ESCO001.0523.00833.002P	99734	pMOB	-
ESCO001.0523.00833.003P	74817	pdCONJ	-
ESCO001.0523.00833.004P	50481	pCONJ	PTU-X3
ESCO001.0523.00833.005P	8197	pMOB	PTU-Q1
ESCO001.0523.00834.002P	92076	pMOB	-
ESCO001.0523.00834.003P	80920	pOriT	PTU-?
ESCO001.0523.00835.002P	87125	pCONJ	PTU-FE
ESCO001.0523.00835.003P	75733	pNT	-
ESCO001.0523.00835.004P	47220	pNT	-
ESCO001.0523.00835.005P	38002	pCONJ	PTU-X1
ESCO001.0523.00835.006P	8176	pMOB	PTU-Q1
ESCO001.0523.00835.007P	5238	pMOB	-
ESCO001.0523.00835.008P	2046	pMOB	-
ESCO001.0523.00836.002P	156025	pCONJ	PTU-?
ESCO001.0523.00836.003P	141846	pCONJ	PTU-B/O/K/Z
ESCO001.0523.00836.004P	70770	pCONJ	PTU-FE
ESCO001.0523.00836.005P	33309	pCONJ	PTU-X4
ESCO001.0523.00837.002P	108661	pCONJ	PTU-I1
ESCO001.0523.00838.002P	108661	pCONJ	PTU-I1
ESCO001.0523.00839.002P	64483	pCONJ	PTU-FE
ESCO001.0523.00839.003P	51704	pMOB	PTU-I1
ESCO001.0523.00839.004P	39455	pCONJ	-
ESCO001.0523.00839.005P	32448	pCONJ	PTU-X4
ESCO001.0523.00840.002P	132874	pOriT	PTU-FE
ESCO001.0523.00840.003P	66300	pNT	-
ESCO001.0523.00840.004P	49825	pMOB	PTU-I1
ESCO001.0523.00841.002P	122112	pCONJ	PTU-FE
ESCO001.0523.00841.003P	67044	pCONJ	PTU-FE
ESCO001.0523.00841.004P	5164	pMOB	PTU-E7
ESCO001.0523.00841.005P	4072	pMOB	PTU-E10
ESCO001.0523.00841.006P	2101	pNT	PTU-E47
ESCO001.0523.00841.007P	1934	pOriT	PTU-E11
ESCO001.0523.00841.008P	1552	pOriT	PTU-E9
ESCO001.0523.00842.002P	114329	pCONJ	PTU-FE
ESCO001.0523.00842.003P	49118	pMOB	PTU-I1
ESCO001.0523.00842.004P	39455	pCONJ	-
ESCO001.0523.00842.005P	32448	pCONJ	PTU-X4
ESCO001.0523.00844.002P	39154	pNT	-
ESCO001.0523.00844.003P	5631	pMOB	PTU-E22
ESCO001.0523.00844.004P	5213	pMOB	PTU-E1
ESCO001.0523.00844.005P	5167	pMOB	PTU-E7
ESCO001.0523.00844.006P	4064	pMOB	PTU-E10
ESCO001.0523.00844.007P	3896	pOriT	-
ESCO001.0523.00844.008P	1822	pOriT	-
ESCO001.0523.00845.002P	82764	pCONJ	PTU-B/O/K/Z
ESCO001.0523.00845.003P	78886	pdCONJ	PTU-FE
ESCO001.0523.00845.004P	75628	pCONJ	PTU-FE
ESCO001.0523.00845.005P	5716	pMOB	-
ESCO001.0523.00845.006P	5153	pOriT	PTU-E1
ESCO001.0523.00845.007P	4110	pMOB	PTU-E10
ESCO001.0523.00845.008P	2311	pNT	-
ESCO001.0523.00845.009P	2113	pNT	PTU-E47
ESCO001.0523.00845.010P	1552	pOriT	PTU-E9
ESCO001.0523.00846.002P	126498	pCONJ	-
ESCO001.0523.00846.003P	31162	pNT	-
ESCO001.0523.00846.004P	8859	pMOB	-
ESCO001.0523.00846.005P	3090	pNT	-
ESCO001.0523.00847.002P	148443	pCONJ	-
ESCO001.0523.00847.003P	33974	pCONJ	PTU-N3
ESCO001.0523.00850.002P	1549	pOriT	PTU-E9
ESCO001.0523.00851.002P	142890	pOriT	PTU-FE
ESCO001.0523.00851.003P	76661	pCONJ	PTU-FE
ESCO001.0523.00851.004P	4367	pMOB	PTU-E3
ESCO001.0523.00852.002P	272842	pCONJ	PTU-HI2
ESCO001.0523.00852.003P	115543	pCONJ	PTU-?
ESCO001.0523.00852.004P	112963	PP	PTU-E16
ESCO001.0523.00852.005P	47226	pCONJ	PTU-X3
ESCO001.0523.00852.006P	8136	pNT	-
ESCO001.0523.00852.007P	2459	pNT	-
ESCO001.0523.00853.002P	272842	pCONJ	PTU-HI2
ESCO001.0523.00853.003P	115013	pCONJ	PTU-FE
ESCO001.0523.00853.004P	112965	PP	PTU-E16
ESCO001.0523.00853.005P	57172	pCONJ	PTU-?
ESCO001.0523.00853.006P	46160	pCONJ	PTU-X3
ESCO001.0523.00853.007P	8136	pNT	-
ESCO001.0523.00853.008P	2459	pNT	-
ESCO001.0523.00854.002P	404189	pNT	-
ESCO001.0523.00854.003P	93845	pNT	-
ESCO001.0523.00854.004P	70209	PP	-
ESCO001.0523.00854.005P	68548	pNT	PTU-FE
ESCO001.0523.00854.006P	46161	pCONJ	PTU-X3
ESCO001.0523.00854.007P	1962	pOriT	-
ESCO001.0523.00856.002P	142890	pOriT	-
ESCO001.0523.00856.003P	86336	pCONJ	PTU-I1
ESCO001.0523.00856.004P	76661	pCONJ	PTU-FE
ESCO001.0523.00856.005P	3608	pOriT	PTU-E51
ESCO001.0523.00857.002P	76269	PP	PTU-E16
